ID	TITLE	CREATOR	FORMAT	PUBLICATION DATES	CONTRIBUTORS	PUBLICATION	PHYSICAL DETAILS	ISBNS	OCLC	SERIES	ISSNS	PRECEDING TITLES	SUCCEEDING TITLES	CREDITS	CARTOGRAPHIC DATA	FINDING AIDS
4027	Data and applications security and privacy XXX : 30th Annual IFIP WG 11.3 Conference, DBSec 2016, Trento, Italy, July 18-20, 2015. Proceedings	Silvio Ranise, Vipin Swarup (eds.)	Books		Ranise, Silvio, editor,Swarup, Vipin, editor,	Switzerland : Springer, 2016.		9783319414836, 3319414836, 9783319414829	ocn953969410	Lecture notes in computer science ; 9766,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,						
4028	Improvement of the earth's gravity field from terrestrial and satellite data : status report no. 42, period covered, November 1, 1984 - December 31, 1986	Department of Geodetic Science and Surveying	Books		Ohio State University. Department of Geodetic Science and Surveying,United States. National Aeronautics and Space Administration,United States. National Advisory Committee for Aeronautics,United States. National Aeronautics and Space Council,Ohio State University,	Columbus, Ohio : Ohio State University Research Foundation ; [Washington, D.C. :] : [National Aeronautics and Space Administration]; Springfield, Va. : National Technical Information Service, [1987]			ocm33382460	NASA contractor report ; NASA CR-180139,						
4029	Business information processing systems : an introduction to data processing	C. Orville Elliott, Robert S. Wasley	Books		Wasley, Robert S,	Fourth edition. Homewood, Ill. : R. D. Irwin, 1975.		9780256015799, 0256015791	ocm01312993	Irwin series in information and decision sciences,						
4030	Review of tracking and data acquisition program hearings, Ninety-third Congress, first and second sessions	October 24, 1973; January 29, 1974	Books			Washington : U.S. Govt. Print. Off., 1974.										
4031	Using SPSS for Windows and Macintosh : analyzing and understanding data	Samuel B. Green, Neil J. Salkind	Books		Salkind, Neil J,	Fourth edition. Upper Saddle River, NJ : Pearson/Prentice Hall, [2005] ©2005		9780131465978, 013146597X	ocm55229048							
4032	Algorithm theoretical basis document : fusion of VIIRS and CrIS data to construct infrared (IR) absorption band radiances for VIIRS	Bryan A. Baum, W.P. Menzel, and E. Weisz	Books		Menzel, W.P., author,Weisz, E., author,University of Wisconsin--Madison. Space Science and Engineering Center,	Version 1.0. Madison, Wisconsin : SSEC, University of Wisconsin--Madison, 2017.			on1011682625							
4033	Rain rate determinations from electronic weight measurements : instrument description and data reduction techniques	Robert O. Berthel, Anthony J. Matthews	Books		Matthews, Anthony J,U.S. Air Force Geophysics Laboratory. Atmospheric Sciences Division,Geophysics Laboratory (U.S.). Atmospheric Sciences Division,	Hanscom AFB, MA : Atmospheric Sciences Division, Air Force Geophysics Laboratory, [1984]			ocm12003608	AFGL-TR ; 84-0212,Instrumentation papers ; no. 324,						
4034	Qualitative data analysis : a methods sourcebook	Matthew B. Miles, A. Michael Huberman, Johnny Saldana, Arizona State University	Books		Huberman, A. M,Saldaña, Johnny,	Third edition. Thousand Oaks, Califorinia : SAGE Publications, Inc., [2014]		9781452257877, 1452257876	ocn828333812							
4035	Encrypted email : the history and technology of message privacy	Hilarie Orman	Books			Cham : Springer, 2015.		9783319213446, 331921344X, 9783319213439, 3319213431, 9783319213439	ocn917888709	SpringerBriefs in computer science,						
4036	A study of the economic benefits of meteorological satellite data : final report	David Suchman, Brian Auvine, [and] Barry Hinton	Books		Auvine, Brian,Hinton, Barry,University of Wisconsin--Madison. Space Science and Engineering Center,	Madison, WI. : University of Wisconsin--Madison, 1980.			ocm72479949	NASA Contract 5-23706 ; Final report,						
4037	Data: mirrors of science	by R. Houwink. [Translation: J. Jackson]	Books			New York : American Elsevier Pub. Co., 1970.		9780444000682, 0444000682	ocm00066961							
4038	Mathematics of data/image coding, compression, and encryption VII, with applications : 4-5 August, 2004, Denver, Colorado, USA	Mark S. Schmalz, chair/editor ; sponsored and published by SPIE--the International Society for Optical Engineering	Books		Schmalz, Mark S,Society of Photo-optical Instrumentation Engineers,SPIE Digital Library,Society of Photographic Instrumentation Engineers,SPIE (Society),	Bellingham, Wash. : SPIE, [2004] ©2004		0819454990, 9780819454997	ocm57176429	Proceedings of SPIE--the International Society for Optical Engineering ; v. 5561,						
4039	Data structures and algorithms using Java	William McAllister	Books			Sudbury, Mass. : Jones and Bartlett Publishers, ©2009		9780763757564, 076375756X	ocn214066235							
4040	Information technologies in the health care system hearing before the Subcommittee on Investigations and Oversight of the Committee on Science and Technology, U.S. House of Representatives, Ninety-ninth Congress, second session, April 21, 1986		Books			Washington : U.S. G.P.O., 1986.										
4041	Annotated bibliography of films in automation, data processing, and computer science	[by] Martin B. Solomon, Jr., and Nora Geraldine Lovan	Books		Lovan, Nora Geraldine, [from old catalog] joint author,	[Lexington] University of Kentucky Press, 1967.		9780813165202, 0813165202, 9780813155876	ocn564000431							
4042	Report of the Geophysics Research Board, Panel on International Exchange of Geophysical Data		Books			Washington, D.C., [publisher not identified], 1962.			ocm08100821							
4043	Do the payment card industry data standards reduce cybercrime? : hearing before the Subcommittee on Emerging Threats, Cybersecurity, and Science and Technology of the Committee on Homeland Security, House of Representatives, One Hundred Eleventh Congress, first session, March 31, 2009		Books; Microforms			Washington : U.S. G.P.O. : For sale by the Supt. of Docs., U.S. G.P.O., 2010.			ocn642890400							
4044	Novel abstractions for data center network management	by Aaron Gember-Jacobson	Books			[Madison, Wis.] : [University of Wisconsin--Madison], 2016.			ocn951126537							
4045	Electronic Engineering and Information Science Selected, peer reviewed papers from the 2014 International Conference on Electronic Engineering and Information Science (ICEEIS 2014), June 21-22, 2014, Harbin, China	edited by Jinghua Yin, Bo Su and Dongxing Wang	Books			Switzerland : Trans Tech Publications Ltd, 2014.				Advanced materials research, v. 981,						
4046	Science and society : action plan	European Commission	Books		European Commission,Commission of the European Communities,	Luxembourg : Office for Official Publications of the European Communities, 2002.		9789289430258, 9289430257	ocm49339906							
4047	Statistical data analysis for ocean and atmospheric sciences	by H. Jean Thiébaux	Books			San Diego : Academic Press, [1994] ©1994		9780126869255, 0126869251, 9780126869262, 012686926X	ocm30109828							
4048	Fundamentals of data structures	Ellis Horowitz, Sartaj Sahni	Books		Sahni, Sartaj,	Rockville, Md. : Computer Science Press, [1983] ©1983			ocm10464721	Computer software engineering series,						
4049	Data mining for the social sciences : an introduction	Paul Attewell and David B. Monaghan ; with Darren Kwong	Books		Monaghan, David B., 1988- author,Kwong, Darren, author,	Oakland, California : University of California Press, [2015]		9780520280977, 0520280970, 9780520280984, 0520280989, 9780520960596, 0520960599	ocn894491465							
4050	Truth or truthiness : distinguishing fact from fiction by learning to think like a data scientist	Howard Wainer, National Board of Medical Examiners	Books			New York : Cambridge University Press, 2016.		9781107130579, 1107130573	ocn932302239							
4051	National database of undergraduate curriculum available	by Nancy M. Conlon	Books		National Science Foundation (U.S.). Division of Science Resources Studies,National Science Foundation (U.S.). Division of Science Resources and Policy Studies,National Science Foundation (U.S.). Division of Science Resources Statistics,	[Arlington, VA] : Science Resources Studies Division, Directorate for Social, Behavioral, and Economic Sciences, National Science Foundation, [1995]			ocm34513091	SRS data brief ; 1995, no. 7,						
4052	Compilation of historical water-quality data for selected springs in Texas, by ecoregion	by Franklin T. Heitmuller and Iona P. Williams ; in cooperation with the Texas Parks and Wildlife Department	Books		Williams, Iona P,Texas. Parks and Wildlife Department,USGS Texas Water Science Center,Geological Survey (U.S.),Geographical and Geological Survey of the Rocky Mountain Region (U.S.),Geographical Surveys West of the 100th Meridian (U.S.),Geological and Geographical Survey of the Territories (U.S.),United States. Department of the Interior,Geological Survey (U.S.). Water Resources Division. Texas District,Texas. Game and Fish Commission,Texas. State Parks Board,	[Reston, Va.] : U.S. Geological Survey, 2006.			ocm80017519	Data series (Geological Survey (U.S.)) ; 230,						
4053	Trial bibliography on the improvement of statistical data		Books		Committee on Government Statistics and Information Services,American Statistical Association,Social Science Research Council (U.S.),	[Place of publication not identified] : [publisher not identified], [1934]			ocm71091197							
4054	Northeastern Florida Bay estuarine creek data, water years 1996-2000	by Clinton D. Hittle and Mark A. Zucker ; prepared as part of the U.S. Geological Survey Great Everglades Priority Ecosystem Sciences Program in cooperation with the U.S. Army Corps of Engineers and the Everglades National Park	Books		Zucker, Mark (Mark A.),United States. Army. Corps of Engineers,Everglades National Park (Agency : U.S.),U.S. Geological Survey Priority Ecosystem Science Program,Geological Survey (U.S.),Geographical and Geological Survey of the Rocky Mountain Region (U.S.),Geographical Surveys West of the 100th Meridian (U.S.),Geological and Geographical Survey of the Territories (U.S.),United States. Department of the Interior,United States. War Department. Corps of Engineers,United States. Army. Corps of Topographical Engineers,United States. Board on Engineer Troops,United States. Army,United States. Army Service Forces,United States. Department of the Army,	Miami, FL : U.S. Dept. of the Interior, U.S. Geological Survey, [2004]			ocm57351408	Data series (Geological Survey (U.S.)) ; 105,						
4055	Local competition in the voice and data marketplace hearing before the Committee on Commerce, Science, and Transportation, United States Senate, One Hundred Sixth Congress, first session, November 4, 1999		Books			Washington : U.S. G.P.O. : For sale by the Supt. of Docs., U.S. G.P.O., [Congressional Sales Office], 2002.				S. hrg ; 106 -1069,						
4056	DPLS news		Journals, Magazines, Newspapers	Began publication in 1993?, -Nov. 2006	University of Wisconsin--Madison. Data and Program Library Service,	Madison, Wis. : Univ. of Wisconsin-Madison, Data and Program Library Service, [1993?]-2006.			ocm71780203							
4057	Visualization and data analysis 2004 : 19-20 January, 2004, Santa Jose, California, USA	Robert F. Erbacher [and others], chairs/editors ; sponsored by IS & T-the Society of Imaging Science and Technology, SPIE-the International Society for Optical Engineering	Books		Erbacher, Robert F,IS & T--the Society for Imaging Science and Technology,Society of Photo-optical Instrumentation Engineers,Society of Photographic Instrumentation Engineers,SPIE (Society),SPSE--the Society for Imaging Science and Technology,	Bellingham, Wash. : SPIE, [2004] ©2004			ocm55848010	Proceedings of SPIE--the International Society for Optical Engineering ; v. 5295,						
4058	SPSS 10.0 guide to data analysis	Marija J. Norušis	Books		SPSS Inc,	Upper Saddle River, N.J. : Prentice Hall, 2000.		9780130292049, 0130292044	ocm47272485							
4059	Data structured software maintenance : the Warnier/Orr approach	by David A. Higgins ; foreword by Nicholas Zvegintzov	Books			New York, N.Y. : Dorset House Pub. Co., [1986] ©1986		9780932633033, 093263303X								
4060	Reworking qualitative data	Janet Heaton	Books			London ; Thousand Oaks, Calif. : SAGE, 2004.		9780761971429, 0761971424, 9780761971436, 0761971432	ocm53389162							
4061	Identity theft and data broker services : hearing before the Committee on Commerce, Science, and Transportation, United States Senate, One Hundred Ninth Congress, first session, May 10, 2005		Books			Washington : U.S. Government Printing Office : 2010. For sale by the Superintendent of Documents, U.S. Government Printing Office, 2010.				S. hrg ; 109-1087,						
4062	Postgraduate study in the biological sciences : a researcher's companion	by Robert J. Beynon	Books			London ; Chapel Hill, NC : Portland Press, [1993] ©1993		9781855780095, 1855780097	ocm28396579							
4063	International tables for crystallography. Volume G, Definition and exchange of crystallographic data	edited by Sydney Hall and Brian McMahon	Books		Hall, S. R. (Sydney R.), editor,McMahon, Brian, editor,International Union of Crystallography,	First edition. Dordrecht : Published for the International Union of Crystallography by Springer, 2005. ©2005		9781402042904, 1402042906, 9781402031380	ocn660060752							
4064	Cryptology and network security : 14th International Conference, CANS 2015, Marrakesh, Morocco, December 10-12, 2015, proceedings	edited by Michael Reiter, David Naccache	Books		Naccache, David. editor,Reiter, Michael. editor,	Cham : Springer, 2015.		3319268236, 9783319268231, 9783319268224	ocn932170404	Lecture notes in computer science ; 9476,						
4065	Transactions on large-scale data- and knowledge-centered systems XXXIV : special issue on consistency and inconsistency in data-centric applications	Abdelkader Hameurlain, Josef Küng, Roland Wagner, Hendrik Decker (eds.)	Books		Hameurlain, Abdelkader, editor,Küng, Josef, 1962- editor,Wagner, Roland, editor,Decker, Hendrik, editor,	Berlin, Germany : Springer, 2017.		9783662559475, 3662559471, 9783662559468	on1005922263	Lecture notes in computer science ; 10620,						
4066	Distributed database management systems	Olin H. Bray	Books			Lexington, Mass. : Lexington Books, [1982] ©1982		9780669033960, 0669033960	ocm07732060	Lexington Books series in computer science,						
4067	Collection and analysis of water quality data	J. S. Shastry, L. T. Fan, and L. E. Erickson	Books		Fan, L. T. (Liang-tseng), 1929- author,Erickson, L. E. (Larry Eugene), 1938- author,	[Manhattan] : [Institute for Systems Designs and Optimization, Kansas State University], 1970.			ocm00600207	Report (Kansas State University. Institute for Systems Design and Optimization) ; no. 19,						
4068	Applications of evolutionary computation : 19th European Conference, EvoApplications 2016, Porto, Portugal, March 30-April 1, 2016, Proceedings, Part I	Giovanni Squillero, Paolo Burelli et al. (eds.)	Books		Squillero, Giovanni, editor,Burelli, Paolo, editor,	Cham : Springer, 2016.		9783319312040, 3319312049, 9783319312033	ocn945632912	Lecture notes in computer science ; 9597,LNCS sublibrary. Theoretical computer science and general issues,						
4069	Evolution equations arising in the modelling of life sciences	Messoud Efendiev	Books			Basel ; New York : Birkhäuser/Springer, [2013] ©2013		3034806140, 9783034806145	ocn821217455	International series of numerical mathematics ; v. 163,						
4070	Data brief		Journals, Magazines, Newspapers	-Dec. 21, 2001, Print began with 1991, no. 1	National Science Foundation (U.S.). Division of Science Resources Studies,National Science Foundation (U.S.). Division of Science Resources Statistics,National Center for Science and Engineering Statistics (National Science Foundation (U.S.)),National Science Foundation (U.S.). Division of Science Resources and Policy Studies,	Arlington, VA : National Science Foundation, -2001.			ocm49496640							
4071	Nonlinear partial differential equations and hyperbolic wave phenomena : 2008-2009 Research Program on Nonlinear Partial Differential Equations, Centre for Advanced Study of the Norwegian Academy of Sciences and Letters, Oslo, Norway	[edited by] Helge Holden, Kenneth H. Karlsen	Books		Holden, H. (Helge), 1956-,Karlsen, Kenneth Hvistendahl,	Providence, R.I. : American Mathematical Society, [2010] ©2010		9780821849767, 082184976X	ocn609871265	Contemporary mathematics (American Mathematical Society) ; v. 526,						
4072	Evolution in Hawaii : a supplement to Teaching about evolution and the nature of science	Steve Olson	Books			Washington, D.C. : National Academies Press, 2004.		9780309526579, 0309526574, 9780309089913, 0309089913	ocm54472851							
4073	Data sources on white-collar law-breaking	by Albert J. Reiss, Jr., Albert D. Biderman	Books		Biderman, Albert D,National Institute of Justice (U.S.),Bureau of Social Science Research (Washington, D.C.),Yale University,Yale College (1718-1887),American University (Washington, D.C.). Bureau of Social Science Research,National Institute of Law Enforcement and Criminal Justice,United States. Department of Justice,United States. Office of Justice Programs,	Washington, D.C. : U.S. Dept. of Justice, National Institute of Justice, 1980 i.e. 1981.			ocm07289882							
4074	Near-infrared spectroscopy in food science and technology	edited by Yukihiro Ozaki, W. Fred McClure, Alfred A. Christy	Books		Ozaki, Y. (Yukihiro),McClure, W. F. (William F.),Christy, Alfred A,Wiley InterScience (Online service),Synergy (Online service),Wiley Online Library (Online service),	Hoboken, N.J. : Wiley-Interscience, [2007] ©2007		0470047704, 9780470047705, 0470047690, 9780470047699, 1280654449, 9781280654442, 0471672017, 9780471672012	ocm85784907							
4075	Trends in information processing systems : 3rd conference of the European Cooperation in Informatics, Munich, October 20-22, 1981 : proceedings	edited by A.J.W. Duijvestijn and P.C. Lockemann	Books		Duijvestijn, A. J. W,Lockemann, P. C,European Cooperation in Informatics (Organization),Gesellschaft für Informatik,	Berlin ; New York : Springer-Verlag, 1981.		9780387108858, 0387108858	ocm07948149	Lecture notes in computer science ; 123,						
4076	Feasibility of a student unit record system within the Integrated Postsecondary Education Data System	Alisa F. Cunningham, John Milam ; Cathy Statham, project officer	Books		Milam, John,Statham, Cathy,National Center for Education Statistics,National Center for Educational Statistics,United States. Office of Educational Research and Improvement. Center for Education Statistics,United States. Office of Educational Research and Improvement. Center for Statistics,Institute of Education Sciences (U.S.),United States. Department of Education,United States. Department of Health, Education, and Welfare. Education Division,United States. Office of Educational Research and Improvement,	Washington, DC : National Center for Education Statistics, U.S. Dept. of Education, Institute of Education Sciences, [2005]			ocm60363487	Research and development report (National Center for Education Statistics),						
4077	Maritime Administration Autorization Act for fiscal year 2012 report of the Committee on Commerce, Science, and Transportation on S. 1430		Books			Washington : U.S. G.P.O., 2011.				Report ; 112-99,ProQuest U.S. serial set digital collection ; S.rp.112-99,						
4078	Statistical learning and data science	edited by Mireille Gettler Summa ... [and others]	Books		Summa, Mireille Gettler,	Boca Raton : CRC Press, [2012] ©2012		9781439867631, 1439867631	ocn703209011	Series in computer science and data analysis,						
4079	Carbon monoxide commuter exposure data base : a 5-day study in Los Angeles	William B. Petersen ... [and others]	Books		Peterson, William B,Environmental Sciences Research Laboratory,	Research Triangle Park, NC : U.S. Environmental Protection Agency, Environmental Sciences Research Laboratory ; Cincinnati, OH : Center for Environmental Research Information [distributor], 1981.			ocm09103600							
4080	Preliminary water-table map and water-quality data for part of the Matanuska-Susitna Valley, Alaska, 2005	by Edward H. Moran and Gary L. Solin ; prepared in cooperation with the Matanuska-Susitna Borough and the Alaska Department of Environmental Conservation	Books		Solin, Gary L,Matanuska-Susitna Borough (Alaska),Alaska. Department of Environmental Conservation,USGS Alaska Water Science Center,Geological Survey (U.S.),Geographical and Geological Survey of the Rocky Mountain Region (U.S.),Geographical Surveys West of the 100th Meridian (U.S.),Geological and Geographical Survey of the Territories (U.S.),United States. Department of the Interior,Geological Survey (U.S.). Water Resources Division. Alaska District,	Reston, Va. : U.S. Geological Survey, 2006.			ocm75286515	U.S. Geological Survey open-file report ; 2006-1209,						
4081	NCUBE : an unsupervised clustering algorithm based on a discretized data space	Daryl J. Eigen and Richard A. Northouse	Books		Northouse, Richard A. (Richard Allen),	Milwaukee : Artificial Intelligence Project, Dept. of Electrical Engineering and Computer Science, University of Wisconsin-Milwaukee, 1972.				TR-RAIL [publications] 72-1a,						
4082	Compositional data analysis in the geosciences : from theory to practice	edited by A. Buccianti, G. Mateu-Figueras and V. Pawlowsky-Glahn	Books		Buccianti, Antonella,Mateu-Figueras, G,Pawlowsky-Glahn, Vera,	London : The Geological Society, [2006] ©2006		1862392056, 9781862392052	ocm76784702	Geological Society special publication ; no. 264,						
4083	Visual arts education for students with significant disabilities : examining the intersection between art education, special education and the learning sciences	Kelley DeCleene	Books			Ann Arbor, MI : ProQuest LLC, 2015.			ocn938940274							
4084	Women in science : career processes and outcomes	Yu Xie, Kimberlee A. Shauman	Books		Shauman, Kimberlee A., 1969-,	Cambridge, Mass. : Harvard University Press, 2003.		9780674010345, 0674010345	ocm51848418							
4085	Surface-water-quality assessment of the upper Illinois River basin in Illinois, Indiana, and Wisconsin : data on agricultural organic compounds, nutrients, and sediment in water, 1988-90	by Daniel J. Sullivan and Paul J. Terrio	Books		Terrio, Paul J,Geological Survey (U.S.),Geographical and Geological Survey of the Rocky Mountain Region (U.S.),Geographical Surveys West of the 100th Meridian (U.S.),Geological and Geographical Survey of the Territories (U.S.),United States. Department of the Interior,	Urbana, IL : U.S. Geological Survey ; Denver, CO : U.S.G.S. Earth Science Information Center, Open-File Reports Section [distributor], 1994.			ocm32435638	U.S. Geological Survey open-file report ; 93-421,						
4086	Computer science - theory and applications : 5th International Computer Science Symposium in Russia, CSR 2010, Kazan, Russia, June 16-20, 2010 ; proceedings	Farid Ablayev, Ernst W. Mayr (eds.)	Books		Ablayev, Farid,Mayr, Ernst,	Berlin ; New York : Springer, 2010.		9783642131813, 3642131816	ocn646810756	Lecture notes in computer science ; 6072,						
4087	Strategies for interpreting qualitative data	Martha S. Feldman	Books			Thousand Oaks : Sage Publications, [1995] ©1995		9780803959156, 080395915X, 9780803959163, 0803959168	ocm31014913	Qualitative research methods ; v. 33,						
4088	ggplot2 : elegant graphics for data analysis	Hadley Wickham	Books			New York ; London : Springer Science + Business Media, 2009.		9780387981406, 0387981403	ocn416289643	Use R!,						
4089	Innovative practices in teaching information sciences and technology : experience reports and reflections	John M. Carroll, editor	Books		Carroll, John M. (John Millar), 1950- editor,	Cham : Springer, 2014.		9783319036564, 3319036564, 9783319036557	ocn870308582							
4090	Proceedings of the Computer Performance Evaluation Users Group (CPEUG) 19th meeting, San Francisco, California, October 25-28, 1983	editor, Deborah Mobray ; sponsored by Institute for Computer Sciences and Technology, National Bureau of Standards	Books		Mobray, Deborah,Navy Regional Data Automation Center (U.S.),Institute for Computer Sciences and Technology,Center for Computer Sciences and Technology,	Washington, D.C. : U.S. Dept. of Commerce, National Bureau of Standards : For sale by the Supt. of Docs., U.S. G.P.O., 1983.			ocm10232559	NBS special publication. Computer science & technology,NBS special publication ; 500-104,NIST special publication. Computer science and technology,						
4091	Statistics for the social sciences	R. Mark Sirkin	Books			Third edition. Thousand Oaks, Calif. : Sage Publications, [2006] ©2006		141290546X, 9781412905466	ocm58526353							
4092	Symbolic and algebraic computation : International Symposium ISSAC '88, Rome, Italy, July 4-8, 1988 : proceedings	P. Gianni (Ed.)	Books		Gianni, P. (Patrizia), 1952-,	Berlin; New York : Springer-Verlag, [1989] ©1989		9783540510840, 3540510842, 9780387510842, 0387510842	ocm19778390	Lecture notes in computer science ; 358,						
4093	Data structures for computational statistics	Sigbert Klinke	Books			Heidelberg : Physica-Verlag, 1997.		9783790809824, 3790809829	ocm37558410	Contributions to statistics,						
4094	Methods of data collection, sample processing, and data analysis for edge-of-field, streamgaging, subsurface-tile, and meteorological stations at Discovery Farms and Pioneer Farm in Wisconsin, 2001-7	by Todd D. Stuntebeck ... [and others] ; in cooperation with the University of Wisconsin-Madison Discovery Farms program and the University of Wisconsin-Platteville Pioneer Farm program	Books		Stuntebeck, Todd D,Geological Survey (U.S.),USGS Wisconsin Water Science Center,Geological Survey (U.S.). Water Resources Division. Wisconsin District,Geographical and Geological Survey of the Rocky Mountain Region (U.S.),Geographical Surveys West of the 100th Meridian (U.S.),Geological and Geographical Survey of the Territories (U.S.),United States. Department of the Interior,	Reston, Va. : U.S. Dept. of the Interionr, U.S. Geological Survey, 2008.			ocn229390411	U.S. Geological Survey open-file report ; 2008-1015,						
4095	Political terrorism : a new guide to actors, authors, concepts, data bases, theories and literature	Alex P. Schmid and Albert J. Jongman ; with the collaboration of Michael Stohl ... [and others] ; foreword by I.L. Horowitz	Books		Jongman, A. J,Stohl, Michael, 1947-,Sociaal-Wetenschappelijk Informatie- en Documentatiecentrum (Koninklijke Nederlandse Akademie van Wetenschappen),Rijksuniversiteit te Leiden. Centrum voor Onderzoek van Maatschappelijke Tegenstellingen,Harvard University. Program on Nonviolent Sanctions in Conflict and Defense,Harvard University. Program on Nonviolent Sanctions and Cultural Survival,	Revised, expanded and updated edition. Amsterdam ; New York : North-Holland ; New Brunswick, U.S.A. : Transaction Books, distributors for the Western hemisphere, [1988] ©1988		9780444856593, 0444856595	ocm18241562							
4096	Advances in computer science, environment, ecoinformatics, and education. Part I : International Conference, CSEE 2011, Wuhan, China, August 21-22, 2011, proceedings	Song Lin, Xiong Huang (eds.)	Books		Lin, Song,Huang, Xiong,	Berlin ; New York : Springer, [2011] ©2011		9783642233210, 364223321X	ocn755776883	Communications in computer and information science ; 214,						
4097	Transactions on large-scale data- and knowledge -centered systems XXX : special issue on cloud computing	Abdelkader Hameurlain, Josef Küng, Roland Wagner, Klaus-Dieter Schewe, Karoly Bosa (eds.)	Books		Hameurlain, Abdelkader, editor,Küng, Josef, 1962- editor,Wagner, Roland, editor,Schewe, Klaus-Dieter, editor,Bosa, Karoly, editor,	Berlin : Springer, 2016. Berlin : Springer, 2016.		9783662540541, 3662540541, 9783662540534, 3662540533	ocn967718212	Lecture notes in computer science ; 10130,						
4098	Peer-to-peer query processing over multidimensional data	Akrivi Vlachou... [and others]	Books		Vlachou, Akrivi,	New York, NY : Springer, [2012] ©2012		9781461421108, 1461421101, 9781461421092	ocn788360426	SpringerBriefs in computer science,						
4099	An introduction to survey research and data analysis	Herbert F. Weisberg, Jon A. Krosnick, Bruce D. Bowen	Books		Krosnick, Jon A,Bowen, Bruce D,	Second edition. Glenview, Ill. : Scott, Foresman, [1989] ©1989		9780673397645, 0673397645	ocm18192269							
4100	Portals to the universe the NASA astronomy science centers	Committee on NASA Astronomy Science Centers, Space Studies Board, Division on Engineering and Physical Sciences, National Research Council of the National Academies	Books		National Research Council (U.S.). Committee on NASA Astronomy Science Centers,National Research Council (U.S.). Space Studies Board,National Research Council (U.S.). Division on Engineering and Physical Sciences,National Research Council (U.S.). Commission on Engineering and Technical Systems,National Research Council (U.S.). Commission on Physical Sciences, Mathematics, and Applications,National Academies of Sciences, Engineering, and Medicine (U.S.). Division on Engineering and Physical Sciences,Assembly of Mathematical and Physical Sciences (U.S.). Space Science Board,	Washington, D.C. : The National Academies Press, c2007.		1280930144, 9786610930142, 0309107350								
4101	Improving the use of satellite-derived AMVs in the GDAS/GFS to mitigate the impact from potential satellite data gaps	David Santek	Books		University of Wisconsin--Madison. Space Science and Engineering Center,Cooperative Institute for Meteorological Satellite Studies (Madison, Wis.),	Madison, WI. : University of Wisconsin--Madison, 2015.			ocn925962655							
4102	Bayesian ideas and data analysis : an introduction for scientists and statisticians	Ronald Christensen ... [and others]	Books		Christensen, Ronald, 1951-,	Boca Raton, FL : CRC Press, [2011] ©2011		9781439803547, 1439803544	ocn262430643	Texts in statistical science,						
4103	TEDTalks : Thomas Goetz - It's Time to Redesign Medical Data	TED Conferences LLC	Videos, Slides, Films		Films Media Group,Films for the Humanities & Sciences (Firm),TED Conferences LLC,Films for the Humanities (Firm),	New York, N.Y. : Films Media Group, [2012], c2011.			ocn829298783							
4104	A comparative evaluation of GC/MS data analysis processing	E.D. Pellizzari, T. Hartwell, and J. Crowder	Books		Hartwell, T. D. (Tyler David), 1939-,Crowder, J. (James), 1941-,Atmospheric Sciences Research Laboratory,	Research Triangle Park, NC : U.S. Environmental Protection Agency, Atmospheric Sciences Research Laboratory, 1985.			ocm12443139							
4105	Schaum's outline of theory and problems of data structures	Seymour Lipschutz	Books			New York : McGraw-Hill, [1986] ©1986		0070380015, 9780070380011	ocm12668302							
4106	Proceedings of the 1991 ACM SIGMOD International Conference on Management of Data : Denver, Colorado, May 29-31, 1991	editors: James Clifford and Roger King	Books		Clifford, James,King, Roger (Roger Alan),Association for Computing Machinery. Special Interest Group on Management of Data,ACM Digital Library,Association for Computing Machinery. Special Interest Group on File Description and Translation,	New York, N.Y. : Association for Computing Machinery, [1991] ©1991		9780897914253, 0897914252	ocm24082928	SIGMOD record. v. 20, no. 2 (June 1991),						
4107	Project MISTT : measurements and data base	Noor V. Gillani	Books		Atmospheric Sciences Research Laboratory,	Research Triangle Park, NC : U.S. Environmental Protection Agency, Atmospheric Sciences Research Laboratory, [1987]			ocm17420423							
4108	Web and big data : first International Joint Conference, APWeb-WAIM 2017, Beijing, China, July 7-9, 2017, Proceedings. Part II	Lei Chen, Christian S. Jensen, Cyrus Shahabi, Xiaochun Yang, Xiang Lian (eds.)	Books		Chen, Lei, editor,Jensen, Christian S., 1963- editor,Shahabi, Cyrus, editor,Yang, Xiaochun, editor,Lian, Xiang (Computer scientist), editor,	Cham, Switzerland : Springer, 2017.		9783319635644, 3319635646, 9783319635637	on1000296978	Lecture notes in computer science ; 10367,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,						
4109	The impact of U.S. export controls on national security, science and technological leadership : hearing before the Committee on Foreign Affairs, House of Representatives, One Hundred Eleventh Congress, second session, January 15, 2010		Books			Washington : U.S. Government Printing Office : 2010. For sale by the Superintendent of Documents, U.S. Government Printing Office, 2010.										
4110	How to do successful science projects	Norman F. Smith	Books		Smith, Norman F. How fast do your oysters grow?,	Revised edition. Englewood Cliffs, NJ : J. Messner, [1990] ©1990		9780671706852, 0671706853, 9780671706869, 0671706861	ocm20994285							
4111	Collection and integration of land, water, and recreation data used in resource planning	Steven Bartelt ... [et. al. ; Michael Nichols, project director]	Books		Bartelt, Steven,Nichols, Michael,	Stevens Point, Wis. : University of Wisconsin--Stevens Point, [1973?]			ocm17153566							
