,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publication,ltable_Format,ltable_ISBN,ltable_Series,ltable_Physical Details,rtable_Title,rtable_Author,rtable_Publication,rtable_Format,rtable_ISBN,rtable_Series,rtable_Physical Details,label
112,501,a3943,b6257,"""Data mining, intrusion detection, information assurance, and data networks security 2007 : 10 April 2007, Orlando, Florida, USA""","""Belur V. Dasarathy, editor ; sponsored and published by SPIE--the International Society for Optical Engineering""","""Bellingham, Wash. : SPIE, [2007] ©2007""","""Books""",9780819466921,"""Proceedings of SPIE--the International Society for Optical Engineering ; v. 6570,""","""nan""","""Cyber security : recovery and reconstitution of critical networks : hearing before the Federal Financial Management, Government Information, and International Security...""","""United States. Congress. Senate. Committee on Homeland Security and Governmental Affairs. Subcommittee on Federal Financial Management, Government Information, and International Security.""","""Washington""","""nan""",9780160788727,"""United States. Congress. Senate. S. hrg. ; 109-893.""","""iv, 229 p. ; 24 cm.""",0
247,1029,a5397,b568,"""Data Management Technologies and Applications 5th International Conference, DATA 2016, Colmar, France, July 24-26, 2016, Revised Selected Papers""","""edited by Chiara Francalanci, Markus Helfert""","""Cham : Springer International Publishing : Imprint: Springer, 2017.""","""Books""",9783319629117,"""Communications in computer and information science ; 737,""","""nan""","""Data management technologies and applications : 4th International Conference, DATA 2015, Colmar, France, July 20-22, 2015 revised selected papers  ""","""Helfert, Markus, | Holzinger, Andreas, | Belo, Orlando | Francalanci, Chiara,""","""Cham""","""Electronic books. | Conference papers and proceedings.""",9783319301624,"""Communications in computer and information science ; 584. 1865-0929""","""1 online resource (xi, 155 pages).""",0
98,385,a5640,b592,"""Transactions on large-scale data- and knowledge-centered systems XXXIII""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Reza Akbarinia, Esther Pacitti (eds.)""","""Berlin, Germany : Springer, 2017.""","""Books""",9783662556962,"""Lecture notes in computer science ; 10430,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems II ""","""Hameurlain, Abdelkader.""","""Berlin ; Springer, c2010.""","""Electronic books.""",9783642161759,"""Lecture notes in computer science ; 6380.""","""1 online resource (vii, 140 p.""",0
217,886,a5070,b66,"""Fraud analytics using descriptive, predictive, and social network techniques : a guide to data science for fraud detection""","""Bart Baesens, Veronique Van Vlasselaer, Wouter Verbeke""","""Hoboken, New Jersey : John Wiley & Sons, Inc., [2015]""","""Books""",9781119146827,"""Wiley and SAS business series,""","""nan""","""Analytics in a big data world : the essential guide to data science and its applications  ""","""Baesens, Bart.""","""Hoboken, New Jersey""","""Electronic books.""",9781119204183,"""Wiley and SAS business series.""","""1 online resource.""",0
93,376,a3009,b1206,"""Digital watermarking : First International Workshop, IWDW 2002, Seoul, Korea, November 21-22, 2002 : revised papers""","""Fabien A.P. Petitcolas, Hyoung Joong Kim, (eds.)""","""Berlin ; New York : Springer, [2003] ©2003""","""Books""",9783540012177,"""Lecture notes in computer science ; 2613,""","""nan""","""Digital forensics and watermarking : 10th International Workshop, IWDW 2011, Atlantic City, NY, October 23-26, 2011, Revised selected papers  ""","""Shi, Yun Q. | Kim, Hyoung Joong, | PÃ©rez-GonzÃ¡lez, F.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642322051,"""Lecture notes in computer science ; 7128. 1611-3349 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xii, 512 pages)""",0
216,884,a2468,b66,"""Analytics in a big data world : the essential guide to data science and its applications""","""Bart Baesens""","""Hoboken, New Jersey : John Wiley & Sons, Inc., [2014]""","""Books""",9781118892701,"""Wiley and SAS business series,""","""nan""","""Analytics in a big data world : the essential guide to data science and its applications  ""","""Baesens, Bart.""","""Hoboken, New Jersey""","""Electronic books.""",9781119204183,"""Wiley and SAS business series.""","""1 online resource.""",1
162,706,a3253,b1449,"""Information security and privacy : 8th Australasian conference, ACISP 2003, Wollongong, Australia, July 9-11, 2003 : proceedings""","""Rei Safavi-Naini, Jennifer Seberry (eds.)""","""Berlin ; New York : Springer, [2003] ©2003""","""Books""",9783540405153,"""Lecture notes in computer science. 2727,""","""nan""","""Information security and privacy : 17th Australasian Conference, ACISP 2012, Wollongong, NSW, Australia, July 9-11, 2012. Proceedings  ""","""Susilo, Willy. | Mu, Yi, | Seberry, Jennifer,""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642314483,"""Lecture notes in computer science ; 7372. 1611-3349 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xiv, 460 pages)""",0
36,135,a5441,b4182,"""High performance computing in science and engineering '15 : transactions of the High Performance Computing Center, Stuttgart (HLRS) 2015""","""Wolfgang E. Nagel, Dietmar H. Kröner, Michael M. Resch, editors""","""Cham : Springer, 2016.""","""Books""",9783319246338,"""nan""","""nan""","""High performance computing in science and engineering '09 : transactions of the High Performance Computing Center, Stuttgart (HLRS) 2009  ""","""Nagel, Wolfgang E. | KrÃ¶ner, Dietmar. | Resch, Michael.""","""Berlin ; Springer-Verlag, Â©2010.""","""Electronic books. | Congresses. | Conference proceedings.""",9783642046650,"""nan""","""1 online resource (xii, 551 pages)""",0
178,751,a208,b570,"""Data management technologies and applications : 4th International Conference, DATA 2015, Colmar, France, July 20-22, 2015 revised selected papers""","""Markus Helfert, Andreas Holzinger, Orlando Belo, Chiara Francalanci (eds.)""","""Cham : Springer, 2016. ©2016""","""Books""",9783319301624,"""Communications in computer and information science ; 584,""","""nan""","""Data management technologies and applications : 5th International Conference, DATA 2016, Colmar, France, July 24-26, 2016, Revised selected papers  ""","""Francalanci, Chiara, | Helfert, Markus,""","""Cham, Switzerland""","""Electronic books.""",9783319629117,"""Communications in computer and information science ; 737. 1865-0929""","""1 online resource (xi, 179 pages)""",0
113,505,a4638,b6257,"""Role of informatics in health data coding and classification systems : proceedings of the IFIP-IMIA WG6 International Working Conference on the Role of Informatics in Health Data Coding and Classification Systems, Ottawa, Canada, 26-28, September 1984""","""organized by Working Group 6 of the International Medical Informatics Association (IMIA) ; sponsored by the International Medical Informatics Association and Canadian Organization for the Advancement of Computers in Health ; edited by R.A. Côté, D.J. Protti, and J.R. Scherrer""","""Amsterdam ; New York : North Holland ; New York, N.Y., U.S.A. : Sole distributors for the U.S.A. and Canada, Elsevier Science Pub. Co., 1985.""","""Books""",9780444876829,"""nan""","""nan""","""Cyber security : recovery and reconstitution of critical networks : hearing before the Federal Financial Management, Government Information, and International Security...""","""United States. Congress. Senate. Committee on Homeland Security and Governmental Affairs. Subcommittee on Federal Financial Management, Government Information, and International Security.""","""Washington""","""nan""",9780160788727,"""United States. Congress. Senate. S. hrg. ; 109-893.""","""iv, 229 p. ; 24 cm.""",0
0,2,a5712,b297,"""Intelligence science and big data engineering : 7th International Conference, IScIDE 2017, Dalian, China, September 22-23, 2017, Proceedings""","""Yi Sun, Huchuan Lu, Lihe Zhang, Jian Yang, Hua Huang (eds.)""","""Cham, Switzerland : Springer, 2017.""","""Books""",9783319677774,"""Lecture notes in computer science ; 10559,LNCS sublibrary. Image processing, computer vision, pattern recognition, and graphics,""","""nan""","""Intelligent science and intelligent data engineering : third Sino-foreign-interchange Workshop, IScIDE 2012, Nanjing, China, October 15-17, 2012. Revised selected papers  ""","""Yang, Jian, | Fang, Fang. | Sun, Changyin.""","""Berlin ; Springer, Â©2013.""","""Electronic books. | Conference papers and proceedings.""",9783642366697,"""Lecture notes in computer science ; 7751. LNCS sublibrary. SL 6, Image processing, computer vision, pattern recognition, and graphics.""","""1 online resource.""",0
94,379,a4969,b592,"""Transactions on large-scale data- and knowledge-centered systems XXXI special issue on data and security engineering""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Tran Khanh Dang, Nam Thoai (eds.)""","""Berlin, Germany : Springer, 2017.""","""Books""",9783662541739,"""Lecture notes in computer science ; 10140,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems II ""","""Hameurlain, Abdelkader.""","""Berlin ; Springer, c2010.""","""Electronic books.""",9783642161759,"""Lecture notes in computer science ; 6380.""","""1 online resource (vii, 140 p.""",0
275,1197,a4546,b1355,"""Knowledge science, engineering and management : 5th International Conference, KSEM 2011, Irvine, CA, USA, December 12-14, 2011. Proceedings""","""Hui Xiong, W. B. Lee (eds.)""","""Berlin ; New York : Springer, [2011] ©2011""","""Books""",9783642259753,"""Lecture notes in computer science. Lecture notes in artificial intelligence,Lecture notes in computer science ; 7091,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Knowledge science, engineering and management : 5th International Conference, KSEM 2011, Irvine, CA, USA, December 12-14, 2011. Proceedings  ""","""Xiong, Hui. | Lee, W. B.""","""Berlin ; Springer, Â©2011.""","""Electronic books. | Conference papers and proceedings.""",9783642259753,"""Lecture notes in computer science. Lecture notes in artificial intelligence ; 7091. Lecture notes in computer science. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource (xiv, 474 pages).""",1
95,380,a5146,b592,"""Transactions on large-scale data- and knowledge-centered systems XXV""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner (eds.)""","""Berlin : Springer, 2016.""","""Books""",9783662495346,"""Lecture notes in computer science ; 9620,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems II ""","""Hameurlain, Abdelkader.""","""Berlin ; Springer, c2010.""","""Electronic books.""",9783642161759,"""Lecture notes in computer science ; 6380.""","""1 online resource (vii, 140 p.""",0
296,1287,a1720,b3733,"""Information organization and databases : foundations of data organization""","""edited by Katsumi Tanaka, Shahram Ghandeharizadeh, Yahiko Kambayashi""","""Boston : Kluwer Academic Publishers, [2000] ©2000""","""Books""",9780792379546,"""Kluwer international series in engineering and computer science ; SECS 579,""","""nan""","""Information Organization and Databases : Foundations of Data Organization  ""","""Tanaka, Katsumi.""","""Boston, MA""","""Electronic books.""",9781461513797,"""International series in engineering and computer science ; 579.""","""1 online resource (xii, 388 pages).""",1
261,1141,a1751,b5366,"""Natural language processing and Chinese computing : Third CCF Conference, NLPCC 2014, Shenzhen, China, December 5-9, 2014, proceedings""","""edited by Chengqing Zong, Jian-Yun Nie, Dongyan Zhao, Yansong Feng""","""Berlin : Springer, 2014.""","""Books""",9783662459249,"""Communications in computer and information science ; 496,""","""nan""","""Natural language processing and Chinese computing : Third CCF Conference, NLPCC 2014, Shenzhen, China, December 5-9, 2014. Proceedings  ""","""Zong, Chengqing, | Nie, Jian-Yun, | Zhao, Dongyan, | Feng, Yansong,""","""Berlin""","""Electronic books.""",9783662459249,"""Communications in computer and information science ; 496. 1865-0929""","""1 online resource (xviii, 474 p.)""",1
240,1004,a2821,b6753,"""Medical informatics : knowledge management and data mining in biomedicine""","""edited by Hsinchun Chen ... [and others]""","""New York, NY : Springer, 2005.""","""Books""",9780387243818,"""Integrated series in information systems,Kluwer's integrated series on information systems,""","""nan""","""Medical informatics : knowledge management and data mining in biomedicine  ""","""Chen, Hsinchun.""","""New York, NY""","""Electronic books.""",9780387257396,"""Integrated series in information systems""","""xliii, 647 p.""",1
69,287,a3783,b424,"""Earth science satellite remote sensing""","""John J. Qu ... [and others] (eds.)""","""Berlin : Springer ; [Place of publication not identified] : Tsinghua University Press, 2006.""","""Books""",9783540358374,"""nan""","""nan""","""Earth science satellite remote sensing ""","""Qu, John J.""","""Berlin ; Springer ; c2006-""","""Electronic books.""",9783540372936,"""nan""","""2 v.""",1
49,190,a3913,b1187,"""Transactions on computational science XVII""","""Marina L. Gavrilova, C. J. Kenneth Tan (eds.)""","""Berlin ; New York : Springer, [2013] ©2013""","""Books""",9783642358401,"""Lecture notes in computer science ; 7420,""","""nan""","""Transactions on computational science XVI ""","""Gavrilova, Marina L. | Tan, C. J. Kenneth""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642326639,"""Lecture notes in computer science ; 7380.""","""1 online resource.""",0
48,189,a837,b1187,"""Transactions on computational science XV : special issue on advances in autonomic computing: formal engineering methods for nature-inspired computing systems""","""Marina L. Gavrilova, C. J. Kenneth Tan, Cong-Vinh Phan (eds.)""","""Berlin ; New York : Springer, [2012] ©2012""","""Books""",9783642285257,"""Lecture notes in computer science ; 7050,""","""nan""","""Transactions on computational science XVI ""","""Gavrilova, Marina L. | Tan, C. J. Kenneth""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642326639,"""Lecture notes in computer science ; 7380.""","""1 online resource.""",0
85,350,a1001,b1146,"""Game analytics : maximizing the value of player data""","""Magy Seif El-Nasr, Anders Drachen, Alessandro Canossa, editors""","""London ; New York : Springer, [2013] ©2013""","""Books""",9781447147695,"""nan""","""nan""","""Game analytics : maximizing the value of player data  ""","""El-Nasr, Magy Seif. | Drachen, Anders. | Canossa, Alessandro.""","""London ; Springer, c2013.""","""Electronic books.""",9781447147695,"""nan""","""1 online resource""",1
297,1288,a5647,b1096,"""Data privacy management and autonomous spontaneous security : 8th International Workshop, DPM 2013, and 6th International Workshop, SETOP 2013, Egham, UK, September 12-13, 2013, revised selected papers""","""Joaquin Garcia-Alfaro, Georgios Lioudakis, Nora Cuppens-Boulahia, Simon Foley, William M. Fitzgerald (eds.)""","""Heidelberg : Springer, 2014.""","""Books""",9783642545689,"""Lecture notes in computer science ; 8247,LNCS sublibrary. Security and cryptology,""","""nan""","""Foundations and practice of security : 5th International Symposium, FPS 2012, Montreal, QC, Canada, October 25-26, 2012, Revised selected papers  ""","""Garcia-Alfaro, Joaquin, | Cuppens, FrÃ©dÃ©ric, | Cuppens-Boulahia, Nora, | Miri, Ali, | Tawbi, Nadia,""","""Berlin ; Springer, Â©2013.""","""Electronic books. | Conference papers and proceedings.""",9783642371196,"""Lecture notes in computer science ; 7743. LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (381 pages)""",0
141,599,a4637,b3395,"""Chinese computational linguistics and natural language processing based on naturally annotated big data : 15th China National Conference, CCL 2016, and 4th International Symposium, NLP-NABD 2016, Yantai, China, October 15-16, 2016, Proceedings""","""edited by Maosong Sun, Xuanjing Huang, Hongfei Lin, Zhiyuan Liu, Yang Liu""","""Cham, Switzerland : Springer, 2016.""","""Books""",9783319476742,"""Lecture notes in computer science. Lecture notes in artificial intelligence ; 10035,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Information security and cryptology : 4th international conference, Inscrypt 2008, Beijing, China, December 14-17, 2008 ; revised selected papers  ""","""Yung, Moti. | Liu, Peng, | Lin, Dongdai.""","""Berlin ; Springer, Â©2009.""","""Electronic books. | Conference papers and proceedings.""",9783642014406,"""Lecture notes in computer science ; 5487.""","""1 online resource (xiii, 437 pages)""",0
207,861,a4253,b527,"""Transactions on large-scale data- and knowledge-centered systems XVI : selected papers from ACOMP 2013""","""Abdelkader Hameurlain [and 4 more] (eds.)""","""Berlin : Springer, 2014.""","""Books""",9783662459478,"""Lecture notes in computer science ; 8960,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XVII : selected papers from DaWaK 2013  ""","""Hameurlain, Abdelkader. | KÃ¼ng, Josef, | Wagner, Roland R. | Bellatreche, Ladjel, | Mohania, Mukesh.""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783662463352,"""Lecture notes in computer science ; 8970. 1611-3349 Transactions on large-scale data- and knowledge-centered systems ; (NL-LeOCL)321419510 17.""","""1 online resource (xiii, 129 pages)""",0
23,73,a4912,b2368,"""Data hiding techniques in Windows OS : a practical approach to investigation and defense""","""Nihad Admad Hassan, Rami Hijazi ; Helvi Salminen, technical editor""","""Cambridge, MA : Syngress [2016] ©2017""","""Books""",9780128044964,"""nan""","""nan""","""Data hiding techniques in Windows OS : a practical approach to investigation and defense  ""","""Hassan, Nihad Ahmad""","""Cambridge, MA""","""Electronic books.""",9780128044964,"""nan""","""1 online resource""",1
246,1023,a1194,b2222,"""Data assimilation : making sense of observations""","""William Lahoz, Boris Khattatov, Richard Ménard, editors""","""Heidleberg ; London : Springer, [2010] ©2010""","""Books""",9783540747024,"""nan""","""nan""","""Data assimilation : making sense of observations  ""","""Lahoz, William Albert. | Khattatov, Boris. | MÃ©nard, Richard.""","""Heidleberg ; Springer, Â©2010.""","""Electronic books.""",9783540747031,"""nan""","""1 online resource (xiv, 718 pages)""",1
148,668,a4781,b6068,"""ITiCSE 2002 : proceedings of the 7th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education, June 24-28, 2002, Aarhus, Denmark""","""conference co-chairs, Michael E. Caspersen, Dan Joyce ; program co-chairs, Don Goelman, Ian Utting ; proceedings editor & ACM coordinator, David Finkel""","""New York : Association for Computing Machinery, [2002] ©2002""","""Books""",9781581134995,"""SIGCSE bulletin. v. 34, no. 3 (Sept. 2002),""","""nan""","""The Design of Innovation : Lessons from and for Competent Genetic Algorithms  ""","""Goldberg, David E.""","""Boston, MA""","""Electronic books.""",9781475736434,"""Genetic algorithms and evolutionary computation ; 7.""","""1 online resource (xxiv, 248 p.).""",0
143,601,a4795,b226,"""Data integration in the life sciences : 9th International Conference, DILS 2013, Montreal, QC, Canada, July 11-12, 2013, proceedings""","""Christopher J. O. Baker, Greg Butler, Igor Jurisica ... [and others] (eds.)""","""Berlin ; New York : Springer, [2013] ©2013""","""Books""",9783642394379,"""Lecture notes in computer science. Lecture notes in bioinformatics ; 7970,LNCS sublibrary. Bioinformatics,Lecture notes in computer science. Lecture notes in bioinformatics,LNCS sublibrary. Bioinformatics,""","""nan""","""Data integration in the life sciences : 9th International Conference, DILS 2013, Montreal, QC, Canada, July 11-12, 2013 : proceedings  ""","""Baker, Christopher J. O. | Butler, G. | Jurisica, Igor.""","""Berlin""","""Electronic books.""",9783642394379,"""Lecture notes in computer science ; 7970. 1611-3349 Lecture notes in computer science. Lecture notes in bioinformatics. LNCS sublibrary. SL 8, Bioinformatics.""","""1 online resource (x, 140 pages)""",1
78,311,a2545,b6726,"""Understanding and conducting research in the health sciences""","""Christopher J.L. Cunningham, Department of Psychology, the University of Tennessee at Chattanooga, Chattanooga, TN, Bart L. Weathington, Department of Psychology, the University of Tennessee at Chattanooga, Chattanooga, TN, David J. Pittenger, College of Liberal Arts, Marshall University, Huntington, WV""","""Hoboken, New Jersey : Wiley, [2013]""","""Books""",9781118595107,"""nan""","""nan""","""Single case research methodology : applications in special education and behavioral sciences  ""","""Gast, David L., | Ledford, Jennifer R.,""","""London ; New York""","""nan""",9780415827904,"""nan""","""xix, 415 pages""",0
180,753,a4221,b570,"""Data Management Technologies and Applications : Third International Conference, DATA 2014, Vienna, Austria, August 29-31, 2014, revised selected papers""","""edited by Markus Helfert, Andreas Holzinger, Orlando Belo, Chiara Francalanci""","""1st ed. 2015. Cham : Springer International Publishing : Imprint: Springer, 2015. ©2015""","""Books""",9783319259369,"""Communications in computer and information science ; 178,""","""nan""","""Data management technologies and applications : 5th International Conference, DATA 2016, Colmar, France, July 24-26, 2016, Revised selected papers  ""","""Francalanci, Chiara, | Helfert, Markus,""","""Cham, Switzerland""","""Electronic books.""",9783319629117,"""Communications in computer and information science ; 737. 1865-0929""","""1 online resource (xi, 179 pages)""",0
100,388,a1638,b592,"""Transactions on large-scale data- and knowledge-centered systems XXIII : selected papers from FDSE 2014""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Tran Khanh Dang, Nam Thoai (Eds.)""","""Berlin : Springer, [2016] ©2016""","""Books""",9783662491751,"""Lecture notes in computer science ; 9480,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems II ""","""Hameurlain, Abdelkader.""","""Berlin ; Springer, c2010.""","""Electronic books.""",9783642161759,"""Lecture notes in computer science ; 6380.""","""1 online resource (vii, 140 p.""",0
204,853,a5640,b527,"""Transactions on large-scale data- and knowledge-centered systems XXXIII""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Reza Akbarinia, Esther Pacitti (eds.)""","""Berlin, Germany : Springer, 2017.""","""Books""",9783662556962,"""Lecture notes in computer science ; 10430,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XVII : selected papers from DaWaK 2013  ""","""Hameurlain, Abdelkader. | KÃ¼ng, Josef, | Wagner, Roland R. | Bellatreche, Ladjel, | Mohania, Mukesh.""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783662463352,"""Lecture notes in computer science ; 8970. 1611-3349 Transactions on large-scale data- and knowledge-centered systems ; (NL-LeOCL)321419510 17.""","""1 online resource (xiii, 129 pages)""",0
131,560,a222,b3263,"""Management and processing of complex data structures : third Workshop on Information Systems and Artificial Intelligence, Hamburg, Germany, February 28-March 2, 1994 : proceedings""","""Kai von Luck, Heinz Marburger (Eds.)""","""Berlin ; New York : Springer-Verlag, [1994] ©1994""","""Books""",9783540578024,"""Lecture notes in computer science ; 777,""","""nan""","""Management and Processing of Complex Data Structures : Third Workshop on Information Systems and Artificial Intelligence Hamburg, Germany, February 28-March 2, 1994 Proceedings  ""","""Luck, Kai.""","""Berlin, Heidelberg""","""Electronic books.""",9783540483359,"""Lecture notes in computer science ; 777. 0302-9743""","""1 online resource""",1
267,1156,a5342,b159,"""Data management in grid and peer-to-peer systems : 4th international conference, Globe 2011, Toulouse, France, September 1-2, 2011 : proceedings""","""Abdelkader Hameurlain, A Min Tjoa (eds.)""","""Heidelberg ; New York : Springer, [2011] ©2011""","""Books""",9783642229473,"""Lecture notes in computer science ; 6864,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Availability, reliability, and security in information systems : IFIP WG 8.4, 8.9, TC 5 International Cross-Domain Conference, CD-ARES 2016, and Workshop on Privacy Aware...""","""Buccafurri, Francesco, | Holzinger, Andreas, | Kieseberg, Peter, | Tjoa, A. Min, | Weippl, Edgar R.,""","""Switzerland""","""Electronic books. | Conference papers and proceedings.""",9783319455075,"""Lecture notes in computer science ; 9817. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xii, 267 pages)""",0
298,1289,a465,b1096,"""Data privacy management and autonomous spontaneous security : 4th international workshop, DPM 2009, and second international workshop, SETOP 2009, St. Malo, France, September 24-25, 2009 : revised selected papers""","""Joaquin Garcia-Alfaro ... [and others] (eds.)""","""Berlin ; New York : Springer, [2010] ©2010""","""Books""",9783642112072,"""Lecture notes in computer science ; 5939,LNCS sublibrary. Security and cryptology,""","""nan""","""Foundations and practice of security : 5th International Symposium, FPS 2012, Montreal, QC, Canada, October 25-26, 2012, Revised selected papers  ""","""Garcia-Alfaro, Joaquin, | Cuppens, FrÃ©dÃ©ric, | Cuppens-Boulahia, Nora, | Miri, Ali, | Tawbi, Nadia,""","""Berlin ; Springer, Â©2013.""","""Electronic books. | Conference papers and proceedings.""",9783642371196,"""Lecture notes in computer science ; 7743. LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (381 pages)""",0
196,815,a1124,b5704,"""Graph-theoretic concepts in computer science : international workshop WG '88, Amsterdam, The Netherlands, June 15-17, 1988 : proceedings""","""J. van Leeuwen (ed.)""","""Berlin ; New York : Springer-Verlag, [1989] ©1989""","""Books""",9780387507286,"""Lecture notes in computer science ; 344,""","""nan""","""Graph-Theoretic Concepts in Computer Science : International Workshop WG '88 Amsterdam, The Netherlands, June 15-17, 1988 Proceedings  ""","""Leeuwen, J.""","""Berlin, Heidelberg""","""Electronic books.""",9783540460763,"""Lecture notes in computer science ; 344. 0302-9743""","""1 online resource""",1
6,14,a1267,b6767,"""Computational intelligence in data mining. Volume 1 : Proceedings of the International Conference on CIDM, 5-6 December 2015""","""Himansu Sekhar Behera, Durga Prasad Mohapatra, editors""","""India : Springer, [2016] ©2016""","""Books""",9788132227342,"""Advances in intelligent systems and computing ; vol. 410,""","""nan""","""Advanced computing, networking and informatics. Volume 2 : proceedings of the 3rd International Conference on Advanced Computing, Networking, and Informatics (ICACNI 2015)  ""","""Nagar, Atulya K., | Mohapatra, Durga Prasad, | Chaki, Nabendu,""","""New Delhi ; New York""","""Electronic books. | Conference papers and proceedings.""",9788132225294,"""Smart innovation, systems, and technologies ; 44. 2190-3018""","""1 online resource.""",0
68,285,a1176,b727,"""Privacy, big data, and the public good : frameworks for engagement""","""edited by Julia Lane, American Institutes for Research, Washington DC, Victoria Stodden, Columbia University, Stefan Bender, Institute for Employment Research of the German Federal Employment Agency, Helen Nissenbaum, New York University""","""New York, NY : Cambridge University Press, 2014.""","""Books""",9781107067356,"""nan""","""nan""","""Privacy, big data, and the public good : frameworks for engagement  ""","""Lane, Julia I.""","""New York, NY""","""nan""",9781107067356,"""nan""","""xix, 322 pages ; 24 cm""",1
203,841,a5426,b527,"""Transactions on large-scale data- and knowledge-centered systems XVII : selected papers from DaWaK 2013""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Ladjel Bellatreche, Mukesh Mohania (eds.)""","""Heidelberg : Springer, [2015] ©2015""","""Books""",9783662463352,"""Lecture notes in computer science ; 8970,Transactions on large-scale data- and knowledge-centered systems ; 17,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XVII : selected papers from DaWaK 2013  ""","""Hameurlain, Abdelkader. | KÃ¼ng, Josef, | Wagner, Roland R. | Bellatreche, Ladjel, | Mohania, Mukesh.""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783662463352,"""Lecture notes in computer science ; 8970. 1611-3349 Transactions on large-scale data- and knowledge-centered systems ; (NL-LeOCL)321419510 17.""","""1 online resource (xiii, 129 pages)""",1
84,348,a1629,b1099,"""Modern accelerator technologies for geographic information science""","""Xuan Shi, Volodymyr Kindratenko, Chaowei Yang, editors""","""New York : Springer, 2013.""","""Books""",9781461487456,"""nan""","""nan""","""Modern accelerator technologies for geographic information science  ""","""Shi, Xuan, | Kindratenko, Volodymyr, | Yang, Chaowei,""","""New York""","""Electronic books.""",9781461487456,"""nan""","""1 online resource (vii, 251 pages)""",1
170,722,a5647,b3261,"""Data privacy management and autonomous spontaneous security : 8th International Workshop, DPM 2013, and 6th International Workshop, SETOP 2013, Egham, UK, September 12-13, 2013, revised selected papers""","""Joaquin Garcia-Alfaro, Georgios Lioudakis, Nora Cuppens-Boulahia, Simon Foley, William M. Fitzgerald (eds.)""","""Heidelberg : Springer, 2014.""","""Books""",9783642545689,"""Lecture notes in computer science ; 8247,LNCS sublibrary. Security and cryptology,""","""nan""","""Foundations and practice of security : 8th International Symposium, FPS 2015, Clermont-Ferrand, France, October 26-28, 2015. Revised selected papers  ""","""Garcia-Alfaro, Joaquin, | Kranakis, Evangelos, | Bonfante, Guillaume,""","""Switzerland""","""Electronic books. | Conference papers and proceedings.""",9783319303031,"""Lecture notes in computer science ; 9482. 0302-9743 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xii, 323 pages)""",0
121,517,a5433,b4255,"""Financial cryptography and data security : FC 2017 International Workshops, WAHC, BITCOIN, VOTING, WTSC, and TA, Sliema, Malta, April 7, 2017, Revised selected papers""","""edited by Michael Brenner, Kurt Rohloff, Joseph Bonneau, Andrew Miller, Peter Y.A. Ryan, Vanessa Teague, Andrea Bracciali, Massimiliano Sala, Federico Pintore, Markus Jakobsson""","""Cham, Switzerland : Springer, 2017.""","""Books""",9783319702780,"""Lecture notes in computer science ; 10323,LNCS sublibrary. Security and cryptology,""","""nan""","""Financial cryptography and data security : FC 2015 International Workshops, BITCOIN, WAHC, and Wearable, San Juan, Puerto Rico, January 30, 2015, Revised Selected Papers  ""","""Brenner, Michael | Christin, Nicolas, | Johnson, Benjamin, | Rohloff, Kurt,""","""Heidelberg""","""Electronic books.""",9783662480519,"""Lecture notes in computer science ; 8976. 0302-9743 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xii, 309 pages)""",0
